Name|Country|Population
Halifax|Czech Republic|464809063
SÃ£o JoÃ£o de Meriti|Tokelau|645786389
Bolton|Saint Pierre and Miquelon|396218666
Inverness|Libya|703451987
Renfrew|Nepal|925553945
Bolzano/Bozen|South Sudan|122955060
Cerro Navia|Estonia|624236091
Rutland|Bangladesh|285848809
Rhemes-Notre-Dame|Portugal|168692214
Maiduguri|Norfolk Island|194826858
Cumberland|Oman|212279685
Gualdo Cattaneo|Montenegro|505600221
Savannah|Kyrgyzstan|432388198
Nil-Saint-Vincent-Saint-Martin|Taiwan|560456460
Navidad|Sint Maarten|237480113
Kakisa|Central African Republic|570644319
Brodick|Montenegro|902897437
Blevio|Antarctica|966187094
Springfield|Korea , South|575952269
San Juan (San Juan de TibÃ¡s)|United States Minor Outlying Islands|290580237
Mol|Laos|680470095
Francofonte|Yemen|290711251
Casalvieri|Dominica|545821961
Kitimat|British Indian Ocean Territory|846149499
Araban|Canada|159814736
Bhagalpur|Cape Verde|331056661
Purranque|Samoa|798801408
Dolembreux|Bermuda|236544554
Shawinigan|Hong Kong|98231187
Sandy|Lesotho|524825049
Overland Park|Uruguay|581191499
Nanaimo|Micronesia|669451131
Pramaggiore|Qatar|321493853
Coihaique|Swaziland|469708000
Montebello|South Georgia and The South Sandwich Islands|53802021
Pordenone|Uzbekistan|952881148
Ruda|Panama|241767464
Wekweti|Virgin Islands, United States|571038215
CochamÃ?|Costa Rica|545335702
BÃ©ziers|Liberia|488291265
Viano|Timor-Leste|622685960
Cochrane|Morocco|777572513
Kamarhati|Tajikistan|308967367
Devon|Thailand|498882932
Newport|Austria|722315399
Clackmannan|Philippines|30916802
Sannazzaro de' Burgondi|Virgin Islands, British|733052916
Ortacesus|Gabon|623666270
Montoggio|Myanmar|573163066
Cape Breton Island|Netherlands|179066292
Westende|United States|282200520
Zwevegem|Greenland|436285377
Boneffe|Belize|676360462
Rockville|Saint Pierre and Miquelon|107541456
Santo Domingo|Sudan|20701953
Uitbergen|Guinea|341851936
LamontzÅ?e|Malta|234603954
Saskatoon|Bahamas|207494718
Ä°mamoÄŸlu|Fiji|334265996
Kozhikode|Isle of Man|619171250
PÅ‚ock|Pitcairn Islands|390883963
Skegness|Lebanon|153134656
Sunset Point|Netherlands|374458295
Cochrane|Cayman Islands|225742928
Wels|Saint Lucia|674834370
Wadgassen|Aruba|700724707
Huntly|Liechtenstein|158244644
Eigenbrakel|Myanmar|406408482
Marzi|Ethiopia|853934008
Capestrano|Liberia|14648844
Vico del Gargano|Wallis and Futuna|283773252
Des Moines|Netherlands|859479863
Cartago|Armenia|222119122
Barnstaple|Sint Maarten|365629792
Landshut|Norfolk Island|415941632
Canmore|British Indian Ocean Territory|284249358
Villamassargia|Armenia|906399599
Rosarno|CÃ´te D'Ivoire (Ivory Coast)|53818337
Roccabruna|Australia|724131716
Barrow-in-Furness|Peru|454211491
Ripacandida|Liberia|331880955
Oberwart|Tunisia|928571134
Herstal|Falkland Islands|389882980
Loughborough|Monaco|61041884
Strathcona County|Cape Verde|497970467
Ville de Maniwaki|Faroe Islands|684194441
Chennai|Latvia|821418997
Mira Bhayandar|India|681571938
Clarksville|Somalia|877375906
Dehri|Panama|806182589
Frigento|Singapore|144503855
Ferrere|Somalia|389150762
Khandwa|Liberia|995856789
Meppel|Namibia|902073762
Camborne|Eritrea|23776190
Albiano|Niue|177319879
Speyer|Macao|130700298
Regina|French Polynesia|681640810
Kallo|Wallis and Futuna|884830772
Piegaro|Equatorial Guinea|434745443
