Weight|YearBuilt|PassengerCapacity
21214|1602|401
23277|1631|300
55207|1866|176
4109|1791|324
90634|1761|295
90539|1612|113
53772|1753|484
31673|1576|112
9016|1577|480
16978|1678|131
33221|1620|385
29061|1552|411
3608|1976|219
27235|1899|120
6448|1571|263
85427|1629|199
51545|1640|445
16789|1525|452
31894|1805|196
3545|1547|389
46027|1659|411
62953|1673|401
66078|2006|262
42947|1764|418
39396|1735|457
49561|1549|336
43684|1714|370
35492|1650|196
50089|1861|124
97219|1511|173
89761|1607|479
94173|1541|429
76618|1937|376
58390|1689|343
54767|1689|128
16217|1615|455
92770|2005|439
48241|1530|112
31704|1643|153
74213|1794|224
70392|1714|326
71970|1631|124
86341|1577|322
61739|1933|205
73703|1627|243
36193|1660|348
30736|1773|229
47985|1981|367
45629|1992|144
58542|1878|293
60034|1881|395
1777|1933|122
39641|1788|337
11934|1727|328
88320|1716|295
5261|1956|471
78068|1828|286
44461|1829|117
15606|1606|415
46735|1944|440
69305|1698|258
94075|1767|270
27331|1994|302
72788|1945|314
69878|1702|444
30920|1582|333
75773|1846|222
60808|1911|215
46571|1985|275
86881|2013|276
97088|1549|435
68494|1655|205
93928|1861|406
28610|1804|481
83325|1935|140
86536|1676|106
80804|1823|244
43419|1642|361
86362|1728|297
73468|1620|357
28740|1865|322
27864|1884|489
30274|1675|489
23581|1616|480
22764|1775|324
49174|1917|245
22099|1963|268
13573|1510|133
55744|1916|106
83857|1722|286
12199|1704|151
81741|1891|316
80942|1744|144
4559|1792|457
88923|1692|458
61825|1610|183
55016|1513|494
76977|1965|142
28434|1761|284
37247|1803|179
